#  x , f_star(x) , pred_trained, pred_fixed 
-2.100000,-0.893527,1.622319,-0.916368
-2.057576,-0.800463,1.663423,-0.878552
-2.015152,-0.705422,1.702859,-0.828065
-1.972727,-0.608347,1.740761,-0.765704
-1.930303,-0.509183,1.777258,-0.692242
-1.887879,-0.407874,1.812474,-0.608440
-1.845454,-0.304368,1.846527,-0.515041
-1.803030,-0.198617,1.879528,-0.412772
-1.760606,-0.090572,1.911584,-0.302338
-1.718182,0.019807,1.942795,-0.184433
-1.675758,0.132558,1.973256,-0.059731
-1.633333,0.247712,2.003057,0.071111
-1.590909,0.365292,2.032281,0.207451
-1.548485,0.485314,2.061005,0.348668
-1.506061,0.607785,2.089302,0.494153
-1.463636,0.732699,2.117239,0.643319
-1.421212,0.860039,2.144874,0.795591
-1.378788,0.989775,2.172265,0.950416
-1.336364,1.121859,2.199459,1.107255
-1.293939,1.256226,2.226500,1.265586
-1.251515,1.392794,2.253427,1.424905
-1.209091,1.531457,2.280271,1.584725
-1.166667,1.672086,2.307058,1.744575
-1.124242,1.814529,2.333810,1.904002
-1.081818,1.958604,2.360540,2.062570
-1.039394,2.104102,2.387260,2.219861
-0.996970,2.250782,2.413971,2.375470
-0.954545,2.398373,2.440672,2.529014
-0.912121,2.546567,2.467355,2.680124
-0.869697,2.695027,2.494007,2.828449
-0.827273,2.843378,2.520607,2.973656
-0.784849,2.991211,2.547132,3.115426
-0.742424,3.138085,2.573551,3.253460
-0.700000,3.283527,2.599826,3.387475
-0.657576,3.427035,2.625916,3.517205
-0.615152,3.568081,2.651774,3.642401
-0.572727,3.706114,2.677345,3.762830
-0.530303,3.840568,2.702570,3.878278
-0.487879,3.970864,2.727385,3.988547
-0.445455,4.096423,2.751719,4.093455
-0.403030,4.216666,2.775495,4.192840
-0.360606,4.331031,2.798631,4.286553
-0.318182,4.438973,2.821040,4.374466
-0.275758,4.539979,2.842627,4.456466
-0.233333,4.633576,2.863295,4.532455
-0.190909,4.719338,2.882938,4.602357
-0.148485,4.796898,2.901445,4.666108
-0.106061,4.865948,2.918700,4.723665
-0.063636,4.926257,2.934581,4.774999
-0.021212,4.977664,2.948960,4.820099
0.021212,5.020088,2.961704,4.858973
0.063636,5.053529,2.972674,4.891642
0.106061,5.078069,2.981725,4.918148
0.148485,5.093867,2.988706,4.938548
0.190909,5.101157,2.993460,4.952916
0.233333,5.100244,2.995827,4.961344
0.275758,5.091495,2.995638,4.963940
0.318182,5.075337,2.992721,4.960830
0.360606,5.052243,2.986895,4.952154
0.403030,5.022727,2.977975,4.938075
0.445455,4.987332,2.965773,4.918767
0.487879,4.946621,2.950090,4.894426
0.530303,4.901174,2.930726,4.865259
0.572727,4.851568,2.907473,4.831496
0.615152,4.798384,2.880116,4.793381
0.657576,4.742187,2.848439,4.751176
0.700000,4.683527,2.812214,4.705159
0.742424,4.622933,2.771213,4.655625
0.784849,4.560908,2.725198,4.602889
0.827273,4.497923,2.673928,4.547277
0.869697,4.434421,2.617156,4.489140
0.912121,4.370810,2.554627,4.428838
0.954545,4.307464,2.486084,4.366753
0.996970,4.244721,2.411261,4.303284
1.039394,4.182890,2.329887,4.238844
1.081818,4.122240,2.241688,4.173866
1.124242,4.063014,2.146380,4.108798
1.166667,4.005419,2.043676,4.044106
1.209091,3.949638,1.933284,3.980273
1.251515,3.895824,1.814903,3.917799
1.293939,3.844105,1.688230,3.857200
1.336364,3.794586,1.552954,3.799011
1.378788,3.747350,1.408758,3.743783
1.421212,3.702463,1.255322,3.692083
1.463636,3.659972,1.092317,3.644497
1.506061,3.619906,0.919410,3.601625
1.548485,3.582284,0.736263,3.564089
1.590909,3.547110,0.542531,3.532523
1.633333,3.514379,0.337863,3.507580
1.675758,3.484073,0.121904,3.489930
1.718182,3.456171,-0.105709,3.480262
1.760606,3.430640,-0.345343,3.479277
1.803030,3.407444,-0.597371,3.487699
1.845454,3.386541,-0.862172,3.506265
1.887879,3.367884,-1.140130,3.535730
1.930303,3.351423,-1.431637,3.576866
1.972727,3.337107,-1.737087,3.630463
2.015152,3.324881,-2.056883,3.697326
2.057576,3.314689,-2.391431,3.778280
2.100000,3.306473,-2.741146,3.874164
