#  x , f_star(x) , pred_trained, pred_fixed 
-2.100000,-0.893527,3.759213,-0.588168
-2.057576,-0.800463,3.639421,-0.584298
-2.015152,-0.705422,3.532736,-0.566124
-1.972727,-0.608347,3.438515,-0.534465
-1.930303,-0.509183,3.356129,-0.490120
-1.887879,-0.407874,3.284963,-0.433877
-1.845454,-0.304368,3.224417,-0.366501
-1.803030,-0.198617,3.173903,-0.288745
-1.760606,-0.090572,3.132848,-0.201345
-1.718182,0.019807,3.100693,-0.105017
-1.675758,0.132558,3.076893,-0.000465
-1.633333,0.247712,3.060916,0.111627
-1.590909,0.365292,3.052244,0.230589
-1.548485,0.485314,3.050375,0.355770
-1.506061,0.607785,3.054817,0.486533
-1.463636,0.732699,3.065096,0.622261
-1.421212,0.860039,3.080748,0.762348
-1.378788,0.989775,3.101327,0.906210
-1.336364,1.121859,3.126398,1.053278
-1.293939,1.256226,3.155541,1.202997
-1.251515,1.392794,3.188349,1.354832
-1.209091,1.531457,3.224429,1.508263
-1.166667,1.672086,3.263404,1.662786
-1.124242,1.814529,3.304908,1.817914
-1.081818,1.958604,3.348591,1.973177
-1.039394,2.104102,3.394116,2.128122
-0.996970,2.250782,3.441160,2.282311
-0.954545,2.398373,3.489413,2.435323
-0.912121,2.546567,3.538581,2.586755
-0.869697,2.695027,3.588382,2.736217
-0.827273,2.843378,3.638549,2.883341
-0.784849,2.991211,3.688828,3.027770
-0.742424,3.138085,3.738980,3.169168
-0.700000,3.283527,3.788779,3.307212
-0.657576,3.427035,3.838012,3.441598
-0.615152,3.568081,3.886484,3.572038
-0.572727,3.706114,3.934007,3.698258
-0.530303,3.840568,3.980415,3.820006
-0.487879,3.970864,4.025549,3.937041
-0.445455,4.096423,4.069268,4.049141
-0.403030,4.216666,4.111442,4.156101
-0.360606,4.331031,4.151958,4.257731
-0.318182,4.438973,4.190716,4.353861
-0.275758,4.539979,4.227627,4.444331
-0.233333,4.633576,4.262619,4.529005
-0.190909,4.719338,4.295634,4.607759
-0.148485,4.796898,4.326627,4.680485
-0.106061,4.865948,4.355565,4.747094
-0.063636,4.926257,4.382432,4.807514
-0.021212,4.977664,4.407225,4.861688
0.021212,5.020088,4.429954,4.909575
0.063636,5.053529,4.450644,4.951150
0.106061,5.078069,4.469332,4.986409
0.148485,5.093867,4.486072,5.015359
0.190909,5.101157,4.500928,5.038026
0.233333,5.100244,4.513983,5.054455
0.275758,5.091495,4.525328,5.064702
0.318182,5.075337,4.535072,5.068843
0.360606,5.052243,4.543337,5.066972
0.403030,5.022727,4.550259,5.059196
0.445455,4.987332,4.555987,5.045641
0.487879,4.946621,4.560684,5.026449
0.530303,4.901174,4.564528,5.001778
0.572727,4.851568,4.567708,4.971802
0.615152,4.798384,4.570433,4.936713
0.657576,4.742187,4.572919,4.896719
0.700000,4.683527,4.575401,4.852043
0.742424,4.622933,4.578124,4.802929
0.784849,4.560908,4.581349,4.749632
0.827273,4.497923,4.585352,4.692429
0.869697,4.434421,4.590420,4.631606
0.912121,4.370810,4.596856,4.567473
0.954545,4.307464,4.604975,4.500355
0.996970,4.244721,4.615110,4.430590
1.039394,4.182890,4.627604,4.358535
1.081818,4.122240,4.642813,4.284564
1.124242,4.063014,4.661110,4.209066
1.166667,4.005419,4.682882,4.132449
1.209091,3.949638,4.708529,4.055136
1.251515,3.895824,4.738462,3.977563
1.293939,3.844105,4.773110,3.900191
1.336364,3.794586,4.812915,3.823489
1.378788,3.747350,4.858331,3.747947
1.421212,3.702463,4.909827,3.674072
1.463636,3.659972,4.967888,3.602385
1.506061,3.619906,5.033010,3.533424
1.548485,3.582284,5.105702,3.467746
1.590909,3.547110,5.186491,3.405921
1.633333,3.514379,5.275916,3.348539
1.675758,3.484073,5.374528,3.296206
1.718182,3.456171,5.482893,3.249540
1.760606,3.430640,5.601594,3.209181
1.803030,3.407444,5.731223,3.175784
1.845454,3.386541,5.872389,3.150019
1.887879,3.367884,6.025713,3.132574
1.930303,3.351423,6.191833,3.124154
1.972727,3.337107,6.371396,3.125478
2.015152,3.324881,6.565069,3.137285
2.057576,3.314689,6.773527,3.160328
2.100000,3.306473,6.997463,3.195377
