#  x , f_star(x) , pred_trained, pred_fixed 
-2.100000,-0.893527,0.901912,-0.533806
-2.057576,-0.800463,0.968971,-0.548434
-2.015152,-0.705422,1.036485,-0.546564
-1.972727,-0.608347,1.104393,-0.529140
-1.930303,-0.509183,1.172634,-0.497089
-1.887879,-0.407874,1.241149,-0.451315
-1.845454,-0.304368,1.309879,-0.392707
-1.803030,-0.198617,1.378767,-0.322129
-1.760606,-0.090572,1.447758,-0.240428
-1.718182,0.019807,1.516798,-0.148434
-1.675758,0.132558,1.585830,-0.046952
-1.633333,0.247712,1.654805,0.063230
-1.590909,0.365292,1.723670,0.181341
-1.548485,0.485314,1.792374,0.306635
-1.506061,0.607785,1.860868,0.438382
-1.463636,0.732699,1.929106,0.575872
-1.421212,0.860039,1.997040,0.718415
-1.378788,0.989775,2.064623,0.865341
-1.336364,1.121859,2.131812,1.016001
-1.293939,1.256226,2.198562,1.169762
-1.251515,1.392794,2.264832,1.326014
-1.209091,1.531457,2.330580,1.484165
-1.166667,1.672086,2.395766,1.643641
-1.124242,1.814529,2.460352,1.803893
-1.081818,1.958604,2.524299,1.964386
-1.039394,2.104102,2.587570,2.124607
-0.996970,2.250782,2.650130,2.284063
-0.954545,2.398373,2.711945,2.442280
-0.912121,2.546567,2.772981,2.598805
-0.869697,2.695027,2.833206,2.753201
-0.827273,2.843378,2.892589,2.905056
-0.784849,2.991211,2.951100,3.053972
-0.742424,3.138085,3.008710,3.199574
-0.700000,3.283527,3.065392,3.341507
-0.657576,3.427035,3.121119,3.479433
-0.615152,3.568081,3.175865,3.613037
-0.572727,3.706114,3.229606,3.742020
-0.530303,3.840568,3.282320,3.866107
-0.487879,3.970864,3.333984,3.985038
-0.445455,4.096423,3.384577,4.098576
-0.403030,4.216666,3.434079,4.206501
-0.360606,4.331031,3.482473,4.308615
-0.318182,4.438973,3.529740,4.404739
-0.275758,4.539979,3.575864,4.494713
-0.233333,4.633576,3.620829,4.578397
-0.190909,4.719338,3.664622,4.655670
-0.148485,4.796898,3.707231,4.726432
-0.106061,4.865948,3.748641,4.790601
-0.063636,4.926257,3.788844,4.848117
-0.021212,4.977664,3.827829,4.898937
0.021212,5.020088,3.865589,4.943038
0.063636,5.053529,3.902115,4.980420
0.106061,5.078069,3.937402,5.011098
0.148485,5.093867,3.971444,5.035109
0.190909,5.101157,4.004239,5.052510
0.233333,5.100244,4.035781,5.063375
0.275758,5.091495,4.066071,5.067802
0.318182,5.075337,4.095108,5.065905
0.360606,5.052243,4.122891,5.057819
0.403030,5.022727,4.149424,5.043699
0.445455,4.987332,4.174708,5.023719
0.487879,4.946621,4.198748,4.998072
0.530303,4.901174,4.221549,4.966972
0.572727,4.851568,4.243117,4.930652
0.615152,4.798384,4.263460,4.889365
0.657576,4.742187,4.282586,4.843383
0.700000,4.683527,4.300504,4.792998
0.742424,4.622933,4.317225,4.738521
0.784849,4.560908,4.332762,4.680284
0.827273,4.497923,4.347127,4.618638
0.869697,4.434421,4.360335,4.553953
0.912121,4.370810,4.372401,4.486619
0.954545,4.307464,4.383340,4.417046
0.996970,4.244721,4.393172,4.345664
1.039394,4.182890,4.401914,4.272921
1.081818,4.122240,4.409586,4.199286
1.124242,4.063014,4.416210,4.125247
1.166667,4.005419,4.421806,4.051314
1.209091,3.949638,4.426400,3.978013
1.251515,3.895824,4.430014,3.905890
1.293939,3.844105,4.432674,3.835514
1.336364,3.794586,4.434407,3.767469
1.378788,3.747350,4.435241,3.702364
1.421212,3.702463,4.435205,3.640824
1.463636,3.659972,4.434328,3.583494
1.506061,3.619906,4.432642,3.531038
1.548485,3.582284,4.430178,3.484141
1.590909,3.547110,4.426970,3.443509
1.633333,3.514379,4.423054,3.409865
1.675758,3.484073,4.418464,3.383954
1.718182,3.456171,4.413237,3.366535
1.760606,3.430640,4.407411,3.358395
1.803030,3.407444,4.401025,3.360334
1.845454,3.386541,4.394119,3.373177
1.887879,3.367884,4.386735,3.397762
1.930303,3.351423,4.378915,3.434953
1.972727,3.337107,4.370702,3.485631
2.015152,3.324881,4.362142,3.550695
2.057576,3.314689,4.353280,3.631067
2.100000,3.306473,4.344163,3.727688
