#  x , f_star(x) , pred_trained, pred_fixed 
-2.100000,-0.893527,1.213614,-0.533806
-2.057576,-0.800463,1.229166,-0.548434
-2.015152,-0.705422,1.247713,-0.546564
-1.972727,-0.608347,1.269139,-0.529140
-1.930303,-0.509183,1.293329,-0.497089
-1.887879,-0.407874,1.320174,-0.451315
-1.845454,-0.304368,1.349560,-0.392707
-1.803030,-0.198617,1.381380,-0.322129
-1.760606,-0.090572,1.415525,-0.240428
-1.718182,0.019807,1.451888,-0.148434
-1.675758,0.132558,1.490364,-0.046952
-1.633333,0.247712,1.530849,0.063230
-1.590909,0.365292,1.573239,0.181341
-1.548485,0.485314,1.617434,0.306635
-1.506061,0.607785,1.663333,0.438382
-1.463636,0.732699,1.710838,0.575872
-1.421212,0.860039,1.759851,0.718415
-1.378788,0.989775,1.810275,0.865341
-1.336364,1.121859,1.862018,1.016001
-1.293939,1.256226,1.914983,1.169762
-1.251515,1.392794,1.969080,1.326014
-1.209091,1.531457,2.024218,1.484165
-1.166667,1.672086,2.080306,1.643641
-1.124242,1.814529,2.137258,1.803893
-1.081818,1.958604,2.194987,1.964386
-1.039394,2.104102,2.253405,2.124607
-0.996970,2.250782,2.312430,2.284063
-0.954545,2.398373,2.371979,2.442280
-0.912121,2.546567,2.431971,2.598805
-0.869697,2.695027,2.492323,2.753201
-0.827273,2.843378,2.552960,2.905056
-0.784849,2.991211,2.613801,3.053972
-0.742424,3.138085,2.674773,3.199574
-0.700000,3.283527,2.735799,3.341507
-0.657576,3.427035,2.796805,3.479433
-0.615152,3.568081,2.857721,3.613037
-0.572727,3.706114,2.918474,3.742020
-0.530303,3.840568,2.978996,3.866107
-0.487879,3.970864,3.039218,3.985038
-0.445455,4.096423,3.099073,4.098576
-0.403030,4.216666,3.158496,4.206501
-0.360606,4.331031,3.217423,4.308615
-0.318182,4.438973,3.275789,4.404739
-0.275758,4.539979,3.333536,4.494713
-0.233333,4.633576,3.390600,4.578397
-0.190909,4.719338,3.446925,4.655670
-0.148485,4.796898,3.502452,4.726432
-0.106061,4.865948,3.557125,4.790601
-0.063636,4.926257,3.610888,4.848117
-0.021212,4.977664,3.663690,4.898937
0.021212,5.020088,3.715477,4.943038
0.063636,5.053529,3.766198,4.980420
0.106061,5.078069,3.815803,5.011098
0.148485,5.093867,3.864245,5.035109
0.190909,5.101157,3.911477,5.052510
0.233333,5.100244,3.957453,5.063375
0.275758,5.091495,4.002128,5.067802
0.318182,5.075337,4.045459,5.065905
0.360606,5.052243,4.087406,5.057819
0.403030,5.022727,4.127927,5.043699
0.445455,4.987332,4.166984,5.023719
0.487879,4.946621,4.204539,4.998072
0.530303,4.901174,4.240555,4.966972
0.572727,4.851568,4.274999,4.930652
0.615152,4.798384,4.307835,4.889365
0.657576,4.742187,4.339033,4.843383
0.700000,4.683527,4.368560,4.792998
0.742424,4.622933,4.396387,4.738521
0.784849,4.560908,4.422487,4.680284
0.827273,4.497923,4.446830,4.618638
0.869697,4.434421,4.469393,4.553953
0.912121,4.370810,4.490151,4.486619
0.954545,4.307464,4.509081,4.417046
0.996970,4.244721,4.526160,4.345664
1.039394,4.182890,4.541369,4.272921
1.081818,4.122240,4.554689,4.199286
1.124242,4.063014,4.566103,4.125247
1.166667,4.005419,4.575592,4.051314
1.209091,3.949638,4.583143,3.978013
1.251515,3.895824,4.588742,3.905890
1.293939,3.844105,4.592377,3.835514
1.336364,3.794586,4.594036,3.767469
1.378788,3.747350,4.593709,3.702364
1.421212,3.702463,4.591389,3.640824
1.463636,3.659972,4.587069,3.583494
1.506061,3.619906,4.580741,3.531038
1.548485,3.582284,4.572404,3.484141
1.590909,3.547110,4.562051,3.443509
1.633333,3.514379,4.549684,3.409865
1.675758,3.484073,4.535299,3.383954
1.718182,3.456171,4.518900,3.366535
1.760606,3.430640,4.500488,3.358395
1.803030,3.407444,4.480067,3.360334
1.845454,3.386541,4.457641,3.373177
1.887879,3.367884,4.433216,3.397762
1.930303,3.351423,4.406802,3.434953
1.972727,3.337107,4.378404,3.485631
2.015152,3.324881,4.348036,3.550695
2.057576,3.314689,4.315708,3.631067
2.100000,3.306473,4.281433,3.727688
