#  x , f_star(x) , pred_trained, pred_fixed 
-2.100000,-0.893527,3.576783,-0.828207
-2.057576,-0.800463,3.605959,-0.779933
-2.015152,-0.705422,3.634677,-0.719250
-1.972727,-0.608347,3.662950,-0.646964
-1.930303,-0.509183,3.690785,-0.563863
-1.887879,-0.407874,3.718190,-0.470719
-1.845454,-0.304368,3.745173,-0.368289
-1.803030,-0.198617,3.771742,-0.257308
-1.760606,-0.090572,3.797901,-0.138493
-1.718182,0.019807,3.823656,-0.012547
-1.675758,0.132558,3.849012,0.119846
-1.633333,0.247712,3.873971,0.258023
-1.590909,0.365292,3.898536,0.401333
-1.548485,0.485314,3.922710,0.549145
-1.506061,0.607785,3.946493,0.700850
-1.463636,0.732699,3.969887,0.855849
-1.421212,0.860039,3.992889,1.013566
-1.378788,0.989775,4.015500,1.173441
-1.336364,1.121859,4.037717,1.334934
-1.293939,1.256226,4.059538,1.497516
-1.251515,1.392794,4.080959,1.660684
-1.209091,1.531457,4.101975,1.823948
-1.166667,1.672086,4.122581,1.986835
-1.124242,1.814529,4.142773,2.148892
-1.081818,1.958604,4.162541,2.309684
-1.039394,2.104102,4.181880,2.468790
-0.996970,2.250782,4.200781,2.625812
-0.954545,2.398373,4.219234,2.780365
-0.912121,2.546567,4.237230,2.932083
-0.869697,2.695027,4.254758,3.080620
-0.827273,2.843378,4.271807,3.225645
-0.784849,2.991211,4.288363,3.366846
-0.742424,3.138085,4.304416,3.503926
-0.700000,3.283527,4.319950,3.636611
-0.657576,3.427035,4.334950,3.764639
-0.615152,3.568081,4.349401,3.887768
-0.572727,3.706114,4.363289,4.005776
-0.530303,3.840568,4.376594,4.118455
-0.487879,3.970864,4.389299,4.225617
-0.445455,4.096423,4.401386,4.327089
-0.403030,4.216666,4.412836,4.422719
-0.360606,4.331031,4.423626,4.512372
-0.318182,4.438973,4.433739,4.595927
-0.275758,4.539979,4.443151,4.673285
-0.233333,4.633576,4.451840,4.744364
-0.190909,4.719338,4.459782,4.809098
-0.148485,4.796898,4.466954,4.867439
-0.106061,4.865948,4.473330,4.919358
-0.063636,4.926257,4.478885,4.964842
-0.021212,4.977664,4.483592,5.003896
0.021212,5.020088,4.487425,5.036545
0.063636,5.053529,4.490354,5.062829
0.106061,5.078069,4.492351,5.082805
0.148485,5.093867,4.493387,5.096550
0.190909,5.101157,4.493431,5.104158
0.233333,5.100244,4.492451,5.105742
0.275758,5.091495,4.490416,5.101428
0.318182,5.075337,4.487293,5.091365
0.360606,5.052243,4.483047,5.075716
0.403030,5.022727,4.477646,5.054665
0.445455,4.987332,4.471054,5.028409
0.487879,4.946621,4.463235,4.997168
0.530303,4.901174,4.454151,4.961175
0.572727,4.851568,4.443765,4.920685
0.615152,4.798384,4.432040,4.875968
0.657576,4.742187,4.418936,4.827310
0.700000,4.683527,4.404412,4.775018
0.742424,4.622933,4.388429,4.719416
0.784849,4.560908,4.370944,4.660845
0.827273,4.497923,4.351916,4.599664
0.869697,4.434421,4.331302,4.536247
0.912121,4.370810,4.309056,4.470991
0.954545,4.307464,4.285136,4.404306
0.996970,4.244721,4.259495,4.336622
1.039394,4.182890,4.232087,4.268386
1.081818,4.122240,4.202866,4.200064
1.124242,4.063014,4.171782,4.132136
1.166667,4.005419,4.138788,4.065104
1.209091,3.949638,4.103834,3.999484
1.251515,3.895824,4.066870,3.935813
1.293939,3.844105,4.027845,3.874643
1.336364,3.794586,3.986708,3.816546
1.378788,3.747350,3.943406,3.762109
1.421212,3.702463,3.897884,3.711939
1.463636,3.659972,3.850090,3.666660
1.506061,3.619906,3.799967,3.626912
1.548485,3.582284,3.747462,3.593354
1.590909,3.547110,3.692516,3.566665
1.633333,3.514379,3.635074,3.547537
1.675758,3.484073,3.575075,3.536683
1.718182,3.456171,3.512463,3.534833
1.760606,3.430640,3.447176,3.542734
1.803030,3.407444,3.379155,3.561151
1.845454,3.386541,3.308338,3.590866
1.887879,3.367884,3.234664,3.632681
1.930303,3.351423,3.158068,3.687413
1.972727,3.337107,3.078489,3.755897
2.015152,3.324881,2.995861,3.838988
2.057576,3.314689,2.910119,3.937556
2.100000,3.306473,2.821197,4.052491
