#  x , f_star(x) , pred_trained, pred_fixed 
-2.100000,-0.893527,0.548681,-0.828207
-2.057576,-0.800463,0.674620,-0.779933
-2.015152,-0.705422,0.797635,-0.719250
-1.972727,-0.608347,0.917738,-0.646964
-1.930303,-0.509183,1.034941,-0.563863
-1.887879,-0.407874,1.149259,-0.470719
-1.845454,-0.304368,1.260706,-0.368289
-1.803030,-0.198617,1.369298,-0.257308
-1.760606,-0.090572,1.475052,-0.138493
-1.718182,0.019807,1.577985,-0.012547
-1.675758,0.132558,1.678115,0.119846
-1.633333,0.247712,1.775462,0.258023
-1.590909,0.365292,1.870048,0.401333
-1.548485,0.485314,1.961891,0.549145
-1.506061,0.607785,2.051015,0.700850
-1.463636,0.732699,2.137444,0.855849
-1.421212,0.860039,2.221200,1.013566
-1.378788,0.989775,2.302309,1.173441
-1.336364,1.121859,2.380797,1.334934
-1.293939,1.256226,2.456690,1.497516
-1.251515,1.392794,2.530017,1.660684
-1.209091,1.531457,2.600806,1.823948
-1.166667,1.672086,2.669086,1.986835
-1.124242,1.814529,2.734888,2.148892
-1.081818,1.958604,2.798244,2.309684
-1.039394,2.104102,2.859185,2.468790
-0.996970,2.250782,2.917746,2.625812
-0.954545,2.398373,2.973961,2.780365
-0.912121,2.546567,3.027863,2.932083
-0.869697,2.695027,3.079491,3.080620
-0.827273,2.843378,3.128880,3.225645
-0.784849,2.991211,3.176068,3.366846
-0.742424,3.138085,3.221095,3.503926
-0.700000,3.283527,3.264000,3.636611
-0.657576,3.427035,3.304823,3.764639
-0.615152,3.568081,3.343608,3.887768
-0.572727,3.706114,3.380395,4.005776
-0.530303,3.840568,3.415229,4.118455
-0.487879,3.970864,3.448153,4.225617
-0.445455,4.096423,3.479214,4.327089
-0.403030,4.216666,3.508457,4.422719
-0.360606,4.331031,3.535930,4.512372
-0.318182,4.438973,3.561681,4.595927
-0.275758,4.539979,3.585758,4.673285
-0.233333,4.633576,3.608212,4.744364
-0.190909,4.719338,3.629094,4.809098
-0.148485,4.796898,3.648456,4.867439
-0.106061,4.865948,3.666349,4.919358
-0.063636,4.926257,3.682829,4.964842
-0.021212,4.977664,3.697948,5.003896
0.021212,5.020088,3.711764,5.036545
0.063636,5.053529,3.724332,5.062829
0.106061,5.078069,3.735710,5.082805
0.148485,5.093867,3.745956,5.096550
0.190909,5.101157,3.755129,5.104158
0.233333,5.100244,3.763290,5.105742
0.275758,5.091495,3.770499,5.101428
0.318182,5.075337,3.776818,5.091365
0.360606,5.052243,3.782311,5.075716
0.403030,5.022727,3.787041,5.054665
0.445455,4.987332,3.791074,5.028409
0.487879,4.946621,3.794474,4.997168
0.530303,4.901174,3.797308,4.961175
0.572727,4.851568,3.799644,4.920685
0.615152,4.798384,3.801551,4.875968
0.657576,4.742187,3.803098,4.827310
0.700000,4.683527,3.804354,4.775018
0.742424,4.622933,3.805392,4.719416
0.784849,4.560908,3.806284,4.660845
0.827273,4.497923,3.807102,4.599664
0.869697,4.434421,3.807921,4.536247
0.912121,4.370810,3.808816,4.470991
0.954545,4.307464,3.809862,4.404306
0.996970,4.244721,3.811137,4.336622
1.039394,4.182890,3.812718,4.268386
1.081818,4.122240,3.814684,4.200064
1.124242,4.063014,3.817113,4.132136
1.166667,4.005419,3.820088,4.065104
1.209091,3.949638,3.823689,3.999484
1.251515,3.895824,3.828000,3.935813
1.293939,3.844105,3.833101,3.874643
1.336364,3.794586,3.839080,3.816546
1.378788,3.747350,3.846020,3.762109
1.421212,3.702463,3.854006,3.711939
1.463636,3.659972,3.863128,3.666660
1.506061,3.619906,3.873472,3.626912
1.548485,3.582284,3.885127,3.593354
1.590909,3.547110,3.898183,3.566665
1.633333,3.514379,3.912731,3.547537
1.675758,3.484073,3.928862,3.536683
1.718182,3.456171,3.946669,3.534833
1.760606,3.430640,3.966246,3.542734
1.803030,3.407444,3.987686,3.561151
1.845454,3.386541,4.011086,3.590866
1.887879,3.367884,4.036541,3.632681
1.930303,3.351423,4.064147,3.687413
1.972727,3.337107,4.094006,3.755897
2.015152,3.324881,4.126214,3.838988
2.057576,3.314689,4.160872,3.937556
2.100000,3.306473,4.198079,4.052491
