#  x , f_star(x) , pred_trained, pred_fixed 
-2.100000,-0.893527,1.168943,-0.828207
-2.057576,-0.800463,1.244348,-0.779933
-2.015152,-0.705422,1.317272,-0.719250
-1.972727,-0.608347,1.387848,-0.646964
-1.930303,-0.509183,1.456202,-0.563863
-1.887879,-0.407874,1.522461,-0.470719
-1.845454,-0.304368,1.586744,-0.368289
-1.803030,-0.198617,1.649170,-0.257308
-1.760606,-0.090572,1.709852,-0.138493
-1.718182,0.019807,1.768902,-0.012547
-1.675758,0.132558,1.826426,0.119846
-1.633333,0.247712,1.882529,0.258023
-1.590909,0.365292,1.937311,0.401333
-1.548485,0.485314,1.990870,0.549145
-1.506061,0.607785,2.043298,0.700850
-1.463636,0.732699,2.094687,0.855849
-1.421212,0.860039,2.145122,1.013566
-1.378788,0.989775,2.194688,1.173441
-1.336364,1.121859,2.243465,1.334934
-1.293939,1.256226,2.291529,1.497516
-1.251515,1.392794,2.338952,1.660684
-1.209091,1.531457,2.385806,1.823948
-1.166667,1.672086,2.432156,1.986835
-1.124242,1.814529,2.478065,2.148892
-1.081818,1.958604,2.523593,2.309684
-1.039394,2.104102,2.568795,2.468790
-0.996970,2.250782,2.613724,2.625812
-0.954545,2.398373,2.658430,2.780365
-0.912121,2.546567,2.702958,2.932083
-0.869697,2.695027,2.747351,3.080620
-0.827273,2.843378,2.791647,3.225645
-0.784849,2.991211,2.835882,3.366846
-0.742424,3.138085,2.880088,3.503926
-0.700000,3.283527,2.924294,3.636611
-0.657576,3.427035,2.968525,3.764639
-0.615152,3.568081,3.012803,3.887768
-0.572727,3.706114,3.057146,4.005776
-0.530303,3.840568,3.101570,4.118455
-0.487879,3.970864,3.146086,4.225617
-0.445455,4.096423,3.190701,4.327089
-0.403030,4.216666,3.235421,4.422719
-0.360606,4.331031,3.280247,4.512372
-0.318182,4.438973,3.325177,4.595927
-0.275758,4.539979,3.370205,4.673285
-0.233333,4.633576,3.415323,4.744364
-0.190909,4.719338,3.460518,4.809098
-0.148485,4.796898,3.505774,4.867439
-0.106061,4.865948,3.551071,4.919358
-0.063636,4.926257,3.596389,4.964842
-0.021212,4.977664,3.641699,5.003896
0.021212,5.020088,3.686974,5.036545
0.063636,5.053529,3.732179,5.062829
0.106061,5.078069,3.777279,5.082805
0.148485,5.093867,3.822233,5.096550
0.190909,5.101157,3.866999,5.104158
0.233333,5.100244,3.911530,5.105742
0.275758,5.091495,3.955777,5.101428
0.318182,5.075337,3.999684,5.091365
0.360606,5.052243,4.043197,5.075716
0.403030,5.022727,4.086254,5.054665
0.445455,4.987332,4.128791,5.028409
0.487879,4.946621,4.170743,4.997168
0.530303,4.901174,4.212037,4.961175
0.572727,4.851568,4.252601,4.920685
0.615152,4.798384,4.292356,4.875968
0.657576,4.742187,4.331223,4.827310
0.700000,4.683527,4.369115,4.775018
0.742424,4.622933,4.405947,4.719416
0.784849,4.560908,4.441628,4.660845
0.827273,4.497923,4.476060,4.599664
0.869697,4.434421,4.509150,4.536247
0.912121,4.370810,4.540793,4.470991
0.954545,4.307464,4.570885,4.404306
0.996970,4.244721,4.599319,4.336622
1.039394,4.182890,4.625983,4.268386
1.081818,4.122240,4.650762,4.200064
1.124242,4.063014,4.673536,4.132136
1.166667,4.005419,4.694185,4.065104
1.209091,3.949638,4.712583,3.999484
1.251515,3.895824,4.728601,3.935813
1.293939,3.844105,4.742108,3.874643
1.336364,3.794586,4.752967,3.816546
1.378788,3.747350,4.761041,3.762109
1.421212,3.702463,4.766185,3.711939
1.463636,3.659972,4.768255,3.666660
1.506061,3.619906,4.767102,3.626912
1.548485,3.582284,4.762572,3.593354
1.590909,3.547110,4.754510,3.566665
1.633333,3.514379,4.742755,3.547537
1.675758,3.484073,4.727146,3.536683
1.718182,3.456171,4.707516,3.534833
1.760606,3.430640,4.683695,3.542734
1.803030,3.407444,4.655510,3.561151
1.845454,3.386541,4.622784,3.590866
1.887879,3.367884,4.585338,3.632681
1.930303,3.351423,4.542987,3.687413
1.972727,3.337107,4.495545,3.755897
2.015152,3.324881,4.442822,3.838988
2.057576,3.314689,4.384624,3.937556
2.100000,3.306473,4.320754,4.052491
