#  x , f_star(x) , pred_trained, pred_fixed 
-2.100000,-0.893527,1.882824,-0.542282
-2.057576,-0.800463,1.941842,-0.542735
-2.015152,-0.705422,1.997466,-0.528423
-1.972727,-0.608347,2.049795,-0.500193
-1.930303,-0.509183,2.098927,-0.458875
-1.887879,-0.407874,2.144958,-0.405281
-1.845454,-0.304368,2.187984,-0.340206
-1.803030,-0.198617,2.228099,-0.264428
-1.760606,-0.090572,2.265398,-0.178707
-1.718182,0.019807,2.299972,-0.083786
-1.675758,0.132558,2.331913,0.019608
-1.633333,0.247712,2.361312,0.130767
-1.590909,0.365292,2.388257,0.249002
-1.548485,0.485314,2.412837,0.373637
-1.506061,0.607785,2.435138,0.504016
-1.463636,0.732699,2.455248,0.639501
-1.421212,0.860039,2.473250,0.779468
-1.378788,0.989775,2.489229,0.923314
-1.336364,1.121859,2.503267,1.070452
-1.293939,1.256226,2.515446,1.220310
-1.251515,1.392794,2.525847,1.372338
-1.209091,1.531457,2.534550,1.526000
-1.166667,1.672086,2.541633,1.680777
-1.124242,1.814529,2.547173,1.836170
-1.081818,1.958604,2.551246,1.991694
-1.039394,2.104102,2.553929,2.146884
-0.996970,2.250782,2.555295,2.301291
-0.954545,2.398373,2.555418,2.454484
-0.912121,2.546567,2.554369,2.606049
-0.869697,2.695027,2.552220,2.755589
-0.827273,2.843378,2.549041,2.902725
-0.784849,2.991211,2.544900,3.047093
-0.742424,3.138085,2.539865,3.188351
-0.700000,3.283527,2.534003,3.326170
-0.657576,3.427035,2.527380,3.460240
-0.615152,3.568081,2.520060,3.590268
-0.572727,3.706114,2.512107,3.715979
-0.530303,3.840568,2.503584,3.837115
-0.487879,3.970864,2.494550,3.953434
-0.445455,4.096423,2.485068,4.064713
-0.403030,4.216666,2.475196,4.170746
-0.360606,4.331031,2.464993,4.271345
-0.318182,4.438973,2.454515,4.366336
-0.275758,4.539979,2.443818,4.455566
-0.233333,4.633576,2.432958,4.538899
-0.190909,4.719338,2.421988,4.616213
-0.148485,4.796898,2.410962,4.687408
-0.106061,4.865948,2.399930,4.752398
-0.063636,4.926257,2.388944,4.811115
-0.021212,4.977664,2.378053,4.863509
0.021212,5.020088,2.367306,4.909547
0.063636,5.053529,2.356750,4.949213
0.106061,5.078069,2.346432,4.982508
0.148485,5.093867,2.336396,5.009451
0.190909,5.101157,2.326688,5.030080
0.233333,5.100244,2.317350,5.044446
0.275758,5.091495,2.308424,5.052621
0.318182,5.075337,2.299952,5.054694
0.360606,5.052243,2.291974,5.050768
0.403030,5.022727,2.284527,5.040969
0.445455,4.987332,2.277651,5.025434
0.487879,4.946621,2.271382,5.004323
0.530303,4.901174,2.265755,4.977808
0.572727,4.851568,2.260805,4.946083
0.615152,4.798384,2.256566,4.909357
0.657576,4.742187,2.253071,4.867856
0.700000,4.683527,2.250350,4.821825
0.742424,4.622933,2.248433,4.771523
0.784849,4.560908,2.247351,4.717233
0.827273,4.497923,2.247131,4.659247
0.869697,4.434421,2.247801,4.597879
0.912121,4.370810,2.249386,4.533461
0.954545,4.307464,2.251912,4.466340
0.996970,4.244721,2.255402,4.396881
1.039394,4.182890,2.259879,4.325466
1.081818,4.122240,2.265365,4.252496
1.124242,4.063014,2.271881,4.178388
1.166667,4.005419,2.279445,4.103575
1.209091,3.949638,2.288078,4.028511
1.251515,3.895824,2.297796,3.953664
1.293939,3.844105,2.308615,3.879519
1.336364,3.794586,2.320552,3.806582
1.378788,3.747350,2.333619,3.735373
1.421212,3.702463,2.347831,3.666430
1.463636,3.659972,2.363200,3.600310
1.506061,3.619906,2.379736,3.537585
1.548485,3.582284,2.397449,3.478845
1.590909,3.547110,2.416350,3.424699
1.633333,3.514379,2.436444,3.375769
1.675758,3.484073,2.457739,3.332701
1.718182,3.456171,2.480241,3.296152
1.760606,3.430640,2.503955,3.266801
1.803030,3.407444,2.528883,3.245340
1.845454,3.386541,2.555028,3.232481
1.887879,3.367884,2.582393,3.228954
1.930303,3.351423,2.610976,3.235504
1.972727,3.337107,2.640778,3.252895
2.015152,3.324881,2.671796,3.281909
2.057576,3.314689,2.704028,3.323340
2.100000,3.306473,2.737470,3.378008
